Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag
220628_Smp_MU9_B,MU9,B,KM1906,Dimethylsulfoniopropionate,2214259712,NA,NA
220628_Smp_MU9_C,MU9,C,KM1906,Dimethylsulfoniopropionate,854548480,NA,NA
220628_Smp_MU1_A,MU1,A,KM1906,Glycine betaine,2882999552,NA,NA
220628_Smp_MU1_B,MU1,B,KM1906,Glycine betaine,3449287168,NA,NA
220628_Smp_MU1_C,MU1,C,KM1906,Glycine betaine,3414040064,NA,NA
220628_Smp_MU10_A,MU10,A,KM1906,Glycine betaine,4870836224,NA,NA
220628_Smp_MU10_B,MU10,B,KM1906,Glycine betaine,4667055616,NA,NA
220628_Smp_MU10_C,MU10,C,KM1906,Glycine betaine,2733110272,NA,NA
220628_Smp_MU11_A,MU11,A,KM1906,Glycine betaine,9437200384,NA,NA
220628_Smp_MU11_B,MU11,B,KM1906,Glycine betaine,11674660864,NA,NA
220628_Smp_MU11_C,MU11,C,KM1906,Glycine betaine,9294872576,NA,NA
220628_Smp_MU14_A,MU14,A,KM1906,Glycine betaine,6169145856,NA,NA
220628_Smp_MU14_B,MU14,B,KM1906,Glycine betaine,7887585280,NA,NA
220628_Smp_MU14_C,MU14,C,KM1906,Glycine betaine,6985772544,NA,NA
220628_Smp_MU15_A,MU15,A,KM1906,Glycine betaine,6583996416,NA,NA
220628_Smp_MU15_B,MU15,B,KM1906,Glycine betaine,8579324928,NA,NA
220628_Smp_MU15_C,MU15,C,KM1906,Glycine betaine,6908696064,NA,NA
220628_Smp_MU16_A,MU16,A,KM1906,Glycine betaine,5483202048,NA,NA
220628_Smp_MU16_B,MU16,B,KM1906,Glycine betaine,9609210880,NA,NA
220628_Smp_MU16_C,MU16,C,KM1906,Glycine betaine,7702958592,NA,NA
220628_Smp_MU17_A,MU17,A,KM1906,Glycine betaine,12416324608,NA,NA
220628_Smp_MU17_B,MU17,B,KM1906,Glycine betaine,11829807104,NA,NA
220628_Smp_MU17_C,MU17,C,KM1906,Glycine betaine,15396747264,NA,NA
220628_Smp_MU18_A,MU18,A,KM1906,Glycine betaine,5993102848,NA,NA
220628_Smp_MU18_B,MU18,B,KM1906,Glycine betaine,9785389056,NA,NA
220628_Smp_MU18_C,MU18,C,KM1906,Glycine betaine,8294623744,NA,NA
220628_Smp_MU19_A,MU19,A,KM1906,Glycine betaine,10130145280,NA,NA
220628_Smp_MU19_B,MU19,B,KM1906,Glycine betaine,11154471936,NA,NA
220628_Smp_MU19_C,MU19,C,KM1906,Glycine betaine,8891916288,NA,NA
220628_Smp_MU2_A,MU2,A,KM1906,Glycine betaine,2437292800,NA,NA
220628_Smp_MU2_B,MU2,B,KM1906,Glycine betaine,3125865472,NA,NA
220628_Smp_MU2_C,MU2,C,KM1906,Glycine betaine,3378598144,NA,NA
220628_Smp_MU20_A,MU20,A,KM1906,Glycine betaine,5630078464,NA,NA
220628_Smp_MU20_B,MU20,B,KM1906,Glycine betaine,8355725312,NA,NA
220628_Smp_MU20_C,MU20,C,KM1906,Glycine betaine,7250369536,NA,NA
220628_Smp_MU21_A,MU21,A,KM1906,Glycine betaine,4012184064,NA,NA
220628_Smp_MU21_B,MU21,B,KM1906,Glycine betaine,6513506304,NA,NA
